country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"DTU, Delhi - CPCB","26-11-2025 13:00:00",28.7500499,77.1112615,PM2.5,170,434,355
India,Delhi,Delhi,"DTU, Delhi - CPCB","26-11-2025 13:00:00",28.7500499,77.1112615,NO2,43,83,68
India,Delhi,Delhi,"DTU, Delhi - CPCB","26-11-2025 13:00:00",28.7500499,77.1112615,CO,30,90,62
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","26-11-2025 13:00:00",28.498571,77.264840,PM10,167,384,257
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","26-11-2025 13:00:00",28.5710274,77.0719006,PM2.5,260,429,350
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","26-11-2025 13:00:00",28.647622,77.3158090,CO,54,184,159
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","26-11-2025 13:00:00",28.695381,77.181665,PM2.5,223,428,356
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","26-11-2025 13:00:00",28.4706914,77.1099364,PM2.5,184,334,294
India,Delhi,Delhi,"Bawana, Delhi - DPCC","26-11-2025 13:00:00",28.776200,77.051074,PM2.5,240,442,366
India,Delhi,Delhi,"Bawana, Delhi - DPCC","26-11-2025 13:00:00",28.776200,77.051074,SO2,6,22,11
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","26-11-2025 13:00:00",28.7256504,77.2011573,PM10,123,409,271
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","26-11-2025 13:00:00",28.580280,77.233829,SO2,3,21,10
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","26-11-2025 13:00:00",28.588333,77.221667,PM10,138,203,179
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","26-11-2025 13:00:00",28.588333,77.221667,SO2,12,31,18
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","26-11-2025 13:00:00",28.5918245,77.2273074,PM10,163,294,229
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","26-11-2025 13:00:00",28.611281,77.237738,PM10,162,338,251
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","26-11-2025 13:00:00",28.611281,77.237738,NO2,42,151,104
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","26-11-2025 13:00:00",28.567890,77.250515,SO2,8,41,22
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","26-11-2025 13:00:00",28.6573814,77.1585447,PM10,153,352,237
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","26-11-2025 13:00:00",28.530785,77.271255,NH3,10,14,12
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","26-11-2025 13:00:00",28.623763,77.287209,PM10,177,409,291
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","26-11-2025 13:00:00",28.623763,77.287209,OZONE,2,159,155
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","26-11-2025 13:00:00",28.6811736,77.3025234,SO2,6,14,11
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","26-11-2025 13:00:00",28.6811736,77.3025234,CO,48,97,77
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","26-11-2025 13:00:00",28.6811736,77.3025234,OZONE,14,28,20
India,Delhi,Delhi,"ITO, Delhi - CPCB","26-11-2025 13:00:00",28.628624,77.241060,NH3,3,6,4
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","26-11-2025 13:00:00",28.732820,77.170633,NH3,9,11,10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","26-11-2025 13:00:00",28.570173,76.933762,NH3,8,9,9
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","26-11-2025 13:00:00",28.570173,76.933762,CO,40,76,66
India,Delhi,Delhi,"Narela, Delhi - DPCC","26-11-2025 13:00:00",28.822836,77.101981,SO2,14,38,22
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","26-11-2025 13:00:00",28.567890,77.250515,PM2.5,253,414,355
India,Delhi,Delhi,"Mundka, Delhi - DPCC","26-11-2025 13:00:00",28.684678,77.076574,PM2.5,213,484,360
India,Delhi,Delhi,"Mundka, Delhi - DPCC","26-11-2025 13:00:00",28.684678,77.076574,CO,33,117,41
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","26-11-2025 13:00:00",28.60909,77.0325413,NO2,57,124,70
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","26-11-2025 13:00:00",28.60909,77.0325413,NH3,8,21,13
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","26-11-2025 13:00:00",28.5710274,77.0719006,SO2,9,30,20
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","26-11-2025 13:00:00",23.041137,72.456691,OZONE,2,84,33
